epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,2343.19,0.75332,1.34945,0.64371,0.99455,0.92799,0.75254,0.88206,0.69341,0.95915,0.75912,0.88604,0.68904,0.92055,1.4654,0.79795,1.31846,0.00101,0.00101,0.00101
52,2389.27,0.75325,1.33131,0.65251,0.99936,0.84544,0.83844,0.8938,0.70139,0.84544,0.83844,0.89446,0.6983,0.71516,1.28447,0.69705,1.09418,0.0009902,0.0009902,0.0009902
53,2433.8,0.733,1.28618,0.63971,0.9928,0.87546,0.82101,0.89045,0.70747,0.86768,0.81371,0.89328,0.69193,0.64609,1.20272,0.58036,1.06338,0.0009704,0.0009704,0.0009704
54,2478.07,0.73338,1.31318,0.63981,0.99444,0.93591,0.77372,0.89536,0.70287,0.94474,0.78102,0.89635,0.69201,0.78132,1.47164,0.88637,1.16901,0.0009506,0.0009506,0.0009506
55,2523.51,0.73864,1.31714,0.64156,0.99219,0.93237,0.76642,0.89086,0.68534,0.93722,0.78102,0.89052,0.68309,1.05069,1.60021,0.77679,1.45486,0.0009308,0.0009308,0.0009308
56,2568.72,0.72578,1.28114,0.61914,0.98586,0.91282,0.7643,0.87799,0.68683,0.9041,0.757,0.87387,0.6933,0.65322,1.21901,0.62634,1.07636,0.000911,0.000911,0.000911
57,2613.65,0.74088,1.32117,0.64028,0.9897,0.9129,0.75912,0.87271,0.69287,0.92184,0.77485,0.87432,0.67119,0.62294,1.40926,0.53059,1.06346,0.0008912,0.0008912,0.0008912
58,2658.62,0.7107,1.25911,0.61105,0.98044,0.83364,0.84128,0.88996,0.69576,0.88299,0.79562,0.88041,0.68029,0.70011,1.31454,0.65842,1.11964,0.0008714,0.0008714,0.0008714
59,2703.43,0.73352,1.29328,0.62641,0.99028,0.89884,0.77831,0.88455,0.68855,0.89884,0.77831,0.88075,0.68703,0.76141,1.24364,0.74248,1.16228,0.0008516,0.0008516,0.0008516
60,2748.03,0.72146,1.27234,0.61596,0.98309,0.92358,0.79397,0.89078,0.69444,0.92358,0.79397,0.88976,0.67722,0.64918,1.30298,0.49558,1.08609,0.0008318,0.0008318,0.0008318
61,2793.23,0.73195,1.29837,0.61942,0.9835,0.88015,0.78832,0.88285,0.68632,0.90433,0.78102,0.89041,0.68875,0.73654,1.24289,0.62627,1.1219,0.000812,0.000812,0.000812
62,2838.73,0.72399,1.27632,0.62069,0.9824,0.90986,0.80292,0.89915,0.70062,0.91633,0.80292,0.89891,0.70005,0.64799,1.22893,0.46228,1.06047,0.0007922,0.0007922,0.0007922
63,2884.45,0.72615,1.3172,0.62877,0.98123,0.85829,0.83997,0.89776,0.70998,0.87316,0.85425,0.90291,0.69399,0.65967,1.17794,0.49622,1.08874,0.0007724,0.0007724,0.0007724
64,2930.41,0.7134,1.28065,0.60945,0.97607,0.87331,0.83942,0.89677,0.71063,0.87331,0.83942,0.89779,0.70249,0.7834,1.23876,0.72686,1.12035,0.0007526,0.0007526,0.0007526
65,2975.58,0.71243,1.25473,0.6063,0.97456,0.93339,0.81022,0.89522,0.71413,0.94212,0.81752,0.89813,0.71487,0.69067,1.33499,0.56315,1.07171,0.0007328,0.0007328,0.0007328
66,3020.77,0.70839,1.25246,0.6,0.97478,0.84374,0.82482,0.89483,0.71231,0.94342,0.77372,0.89656,0.69947,0.76417,1.25818,0.70327,1.08068,0.000713,0.000713,0.000713
67,3065.66,0.70001,1.23655,0.60305,0.97532,0.93477,0.81022,0.90455,0.72106,0.94319,0.81752,0.91086,0.70981,0.748,1.39847,0.57695,1.17132,0.0006932,0.0006932,0.0006932
68,3110.55,0.70058,1.24084,0.59183,0.97243,0.94062,0.80944,0.90771,0.71386,0.9491,0.81656,0.90922,0.70518,0.85651,1.35339,0.49609,1.31121,0.0006734,0.0006734,0.0006734
69,3155.66,0.7037,1.2518,0.59606,0.97333,0.88993,0.81752,0.89427,0.71546,0.87895,0.85401,0.89576,0.71162,0.68482,1.17589,0.62609,1.08447,0.0006536,0.0006536,0.0006536
70,3200.79,0.70614,1.25283,0.59812,0.9724,0.90193,0.80557,0.8855,0.70894,0.90193,0.80557,0.8778,0.69477,0.81471,1.44897,0.63069,1.21008,0.0006338,0.0006338,0.0006338
71,3245.68,0.7044,1.2407,0.58703,0.97153,0.9013,0.79991,0.87658,0.69614,0.90953,0.80721,0.88333,0.69398,0.8964,1.40706,0.65423,1.34032,0.000614,0.000614,0.000614
72,3291.1,0.69774,1.23034,0.5945,0.97276,0.9165,0.8012,0.89472,0.72105,0.92482,0.80816,0.89914,0.71129,0.69579,1.29382,0.64108,1.10355,0.0005942,0.0005942,0.0005942
73,3336.33,0.69418,1.2241,0.59433,0.96958,0.89306,0.85341,0.89937,0.70493,0.90061,0.8598,0.90001,0.69417,0.86452,1.31476,0.64595,1.396,0.0005744,0.0005744,0.0005744
74,3382.2,0.69721,1.24059,0.58604,0.96993,0.88726,0.81752,0.89616,0.71249,0.89544,0.82482,0.90186,0.69741,0.71077,1.42382,0.6103,1.09302,0.0005546,0.0005546,0.0005546
75,3426.65,0.68169,1.20929,0.57606,0.96424,0.86574,0.84721,0.89678,0.70349,0.8732,0.85451,0.89256,0.6953,0.79996,1.30511,0.62022,1.2716,0.0005348,0.0005348,0.0005348
76,3471.57,0.6834,1.21643,0.55797,0.95954,0.88611,0.85186,0.89301,0.69919,0.8937,0.85916,0.88879,0.69255,0.90592,1.32633,0.56986,1.36613,0.000515,0.000515,0.000515
